PDB,Binding_affinity,rmsd,methods,Ics_total,Ics_charg-charg,Ics_charg-polar,Ics_charg-apolar,Ics_polar-polar,Ics_polar-apolar,Ics_apolar-apolar,hydrophil-hydrophil,hydrophil-hydrophob,hydrophob-hydrophob,NISapol,NISpol,NISchar,BSAtotal,BSAapolar,BSApoalr
1A2K.pdb,9.3,1.11,ITC,68,5,4,20,2,12,25,27,28,13,41.77,31.64,26.58,1602.7,1020.1,582.5
1ACB.pdb,13.1,1.08,spectro-scopy,73,3,2,19,4,19,26,25,36,12,38.78,42.52,18.69,1544.1,1084.3,459.8
1AK4.pdb,6.4,1.33,ITC,58,1,7,14,1,12,23,25,26,7,45.45,28.13,26.4,1065.5,755.4,310.1
1AKJ.pdb,5.3,1.14,SPR,73,8,20,7,18,18,2,53,19,1,35.1,35.31,29.57,1995.1,820,1175.2
1ATN.pdb,12.1,3.28,spectro-scopy,84,9,8,20,4,15,28,38,31,15,34.86,36.46,28.66,1774.3,1190.1,584.1
1AVZ.pdb,6.5,0.73,ITC,48,5,8,9,2,14,10,35,13,0,42.53,30.59,26.86,1259.6,747.9,511.7
1B6C.pdb,8.9,1.96,SPR,69,6,11,18,1,11,22,32,29,8,35.55,31.42,33.01,1752.4,1218.5,533.9
1BJ1.pdb,11.6,0.5,SPR,80,3,8,21,7,22,19,59,21,0,35.68,41.7,22.61,1730.7,980,750.7
1BUH.pdb,9.7,0.75,SPR,58,12,4,20,0,5,17,32,20,6,41.24,28.83,29.92,1323.9,820.4,503.5
1BVK.pdb,10.5,1.24,stopped-flow,58,2,8,18,2,14,14,48,10,0,33.59,43.75,22.65,1321.1,660.5,660.5
1BVN.pdb,15.1,0.87,SPR,93,3,12,22,0,23,33,53,36,4,36.67,38.1,25.21,2221.7,1368.1,853.7
1CBW.pdb,10.7,0.74,Spectro-scopy,81,3,10,26,1,13,28,32,35,14,39.7,39.7,20.58,1457.2,950,507.3
1DE4.pdb,9.8,2.59,SPR,67,5,13,17,9,14,9,38,26,3,33.76,35.06,31.16,2065.5,1289.1,776.3
1DQJ.pdb,11.7,0.75,SPR,93,2,22,18,11,25,15,80,13,0,31.44,47.66,20.88,1783.8,849.3,934.5
1E4K.pdb,7.9,2.59,SPR,65,3,8,26,2,5,21,40,22,3,35.96,38.87,25.15,1634.8,1090.8,544.1
1E6E.pdb,8.3,1.33,SPR,78,18,16,17,5,11,11,43,28,7,42.65,26.26,31.08,2312.2,1297.9,1014.3
1E6J.pdb,10.3,1.05,SPR,61,0,7,8,5,15,26,29,26,6,38.53,41.1,20.35,1245.5,839.2,406.3
1E96.pdb,7.4,0.71,ITC,50,4,7,16,4,11,8,23,21,6,37.16,28.73,34.09,1178.7,717.6,461.1
1EER.pdb,15.6,2.44,SPR,136,30,19,25,12,31,19,73,49,14,43.9,25.94,30.15,3346.6,1880.3,1466.2
1EFN.pdb,10.1,0.9,SPR,51,5,5,12,1,12,16,34,13,4,44.27,27.48,28.24,1253.6,792.4,461.1
1EMV.pdb,18.6,1.28,stopped-flow,68,4,12,11,4,24,13,42,22,4,29.09,29.69,41.21,1535.3,902.6,632.7
1EWY.pdb,7.4,0.8,spectro-scopy,58,9,10,15,3,9,12,30,21,7,37.16,29.72,33.1,1501.9,736.7,765.1
1EZU.pdb,13.8,1.21,spectro-scopy,127,7,9,33,8,28,42,61,54,12,40.42,30.58,28.98,2751.2,1725.8,1025.3
1FC2.pdb,10.4,1.69,stopped-flow,50,4,4,9,8,14,11,20,22,8,35.6,37.56,26.82,1307.1,819.4,487.8
1FFW.pdb,8.1,1.43,ITC,43,7,3,16,0,2,15,12,19,12,44.37,21.85,33.77,1170.1,762.8,407.2
1FSK.pdb,13.1,0.45,SPR,82,7,10,22,3,15,25,61,18,3,35.94,40.52,23.52,1622.7,912.6,710.1
1GCQ.pdb,6.5,0.92,SPR,56,5,7,11,0,12,21,23,25,8,41.17,33.33,25.49,1207.6,732.4,475.3
1GLA.pdb,6.8,0.98,spectro-scopy,46,5,8,13,0,11,9,16,27,3,38.96,26.29,34.74,1304.1,834.4,469.5
1GXD.pdb,11.7,1.39,SPR,105,16,6,33,0,15,35,38,47,20,40.09,30.26,29.64,2445.4,1450.7,994.6
1HE8.pdb,7.4,0.92,stopped-flow,48,8,15,6,5,8,6,34,10,4,33.66,33.16,33.16,1304.9,692.2,612.7
1I2M.pdb,15.8,2.12,stopped-flow,119,20,17,37,7,26,12,81,33,5,38.69,30.51,30.79,2779.4,1360.5,1418.8
1I4D.pdb,7.5,1.41,ITC,67,3,9,9,7,21,18,30,26,11,35.09,31.25,33.65,1657.2,1079,578.2
1J2J.pdb,8.1,0.63,SPR,43,3,4,12,1,3,20,11,18,14,30.46,31.78,37.74,1209.7,888.9,320.7
1JPS.pdb,13.6,0.51,SPR,83,13,16,18,4,20,12,58,22,3,34.82,40.81,24.35,1852.3,909,943.2
1JTG.pdb,12.8,0.49,SPR,109,11,19,34,4,16,25,72,34,3,41.03,32.06,26.89,2604.9,1600.9,1004.1
1JWH.pdb,11.1,1.27,ITC,57,2,5,20,0,10,20,21,25,11,34.29,33.21,32.49,1451.9,1065.9,386
1K5D.pdb,12.8,1.19,stopped-flow,110,16,15,24,6,21,28,61,37,12,33.61,25.88,40.5,2526.6,1589.7,936.9
1KAC.pdb,10.7,0.95,SPR,57,7,5,13,2,18,12,36,18,3,37.93,42.67,19.39,1455.7,941.5,514.2
1KKL.pdb,10,2.2,SPR,71,6,9,16,4,14,22,25,30,16,37.87,31.56,30.56,1641.2,1076,565.1
1KTZ.pdb,8.9,0.39,SPR,35,5,6,7,0,5,12,17,16,2,33.93,38.18,27.87,988.9,623.9,365
1KXQ.pdb,11.5,0.72,SPR,95,7,9,18,13,25,23,61,24,10,34.53,40.46,25,2171.6,1251.9,919.7
1LFD.pdb,7.8,1.79,stopped-flow,49,9,8,9,3,9,11,32,13,4,29.31,32.46,38.21,1186.3,619.2,567.1
1M10.pdb,11.2,2.1,SPR,86,16,24,24,2,8,12,51,30,5,36.39,34.86,28.74,2096.6,1141.8,954.8
1MLC.pdb,9.6,0.6,SPR,67,5,8,15,13,18,8,62,4,1,33,45.63,21.35,1391.5,802.6,588.9
1MQ8.pdb,7.5,1.76,SPR,57,3,11,10,6,15,12,27,24,6,37.14,31.78,31.07,1241.4,737.6,503.7
1P2C.pdb,13.6,0.46,SPR,75,5,8,17,13,22,10,68,5,2,32.74,45.08,22.16,1456.7,841.9,614.7
