PDB_ID,True_ΔG_kJmol,Pred_ΔG_kJmol,Error_kJmol,Abs_Error_kJmol,complex_count
3ncc,-3.85,-33.82561607322112,29.97561607322112,29.97561607322112,392
2few,-13.88,-42.43346585763937,28.553465857639367,28.553465857639367,240
4jzw,-61.71,-34.892822110912675,-26.817177889087326,26.817177889087326,723
2ptc,-75.47,-51.46999700121462,-24.000002998785376,24.000002998785376,281
1u5s,-14.4,-36.8649744133181,22.464974413318103,22.464974413318103,137
3jza,-65.77,-43.30968028800436,-22.460319711995638,22.460319711995638,361
2k8c,-15.67,-38.129557775242276,22.459557775242274,22.459557775242274,156
2qc1,-62.78,-40.498289456622565,-22.281710543377436,22.281710543377436,286
5j57,-61.07,-39.464872155528504,-21.605127844471497,21.605127844471497,388
1fg9,-57.08,-36.18009674460354,-20.89990325539646,20.89990325539646,862
5glh,-60.98,-40.73914056319959,-20.240859436800406,20.240859436800406,473
1tlh,-20.11,-39.709243023788794,19.599243023788794,19.599243023788794,157
3n06,-14.32,-33.71115383882879,19.391153838828792,19.391153838828792,392
2fu5,-52.25,-33.12109606315724,-19.12890393684276,19.12890393684276,517
6har,-58.3,-40.234851085913405,-18.065148914086592,18.065148914086592,278
2z3q,-59.48,-41.723532026842776,-17.75646797315722,17.75646797315722,389
3uzq,-57.57,-40.35734371868277,-17.21265628131723,17.21265628131723,329
3ogo,-54.19,-37.187917681235525,-17.002082318764472,17.002082318764472,1369
6on9,-28.54,-44.98127587566645,16.44127587566645,16.44127587566645,226
6mm6,-23.59,-39.84151699385481,16.25151699385481,16.25151699385481,1037
4nu1,-24.1,-40.26365695017287,16.16365695017287,16.16365695017287,375
3olm,-23.08,-39.040243163138875,15.960243163138877,15.960243163138877,486
6ba6,-21.63,-37.36443221750661,15.734432217506612,15.734432217506612,253
2xgy,-25.82,-41.03763875922004,15.217638759220037,15.217638759220037,294
1q0w,-20.31,-35.42428150507303,15.114281505073034,15.114281505073034,100
4nm3,-24.1,-39.14156093502993,15.041560935029928,15.041560935029928,376
5fzt,-24.65,-39.69150735851607,15.041507358516071,15.041507358516071,329
6eg1,-23.49,-38.395533379005784,14.905533379005785,14.905533379005785,1029
2v6x,-25.99,-40.815756402033394,14.825756402033395,14.825756402033395,119
1wrd,-19.34,-33.737441498026925,14.397441498026925,14.397441498026925,174
3ukx,-60.06,-45.70782256192959,-14.352177438070413,14.352177438070413,449
4xxw,-30.2,-44.377160239780956,14.177160239780957,14.177160239780957,866
2qej,-51.13,-37.28168925338067,-13.848310746619333,13.848310746619333,803
4lgp,-55.01,-41.16660912552923,-13.84339087447077,13.84339087447077,753
2ij0,-55.62,-41.77849819363096,-13.841501806369038,13.841501806369038,621
6u2h,-54.12,-40.32000554890637,-13.799994451093625,13.799994451093625,1009
1d6r,-56.43,-42.66913469262582,-13.760865307374182,13.760865307374182,281
4hrl,-51.37,-37.73131464013398,-13.638685359866017,13.638685359866017,331
4wem,-29.49,-42.50655695419805,13.016556954198048,13.016556954198048,369
5jze,-29.26,-41.9677235213852,12.707723521385201,12.707723521385201,469
1vrc,-25.95,-38.59129699583584,12.641296995835841,12.641296995835841,428
1yx6,-23.61,-36.17842706467989,12.568427064679888,12.568427064679888,188
1azz,-53.04,-40.538239610421975,-12.501760389578024,12.501760389578024,727
3dgc,-51.37,-39.132055582491134,-12.237944417508864,12.237944417508864,691
6e2p,-26.99,-39.19263811433597,12.202638114335972,12.202638114335972,938
5hvg,-52.51,-40.37760801268344,-12.13239198731656,12.13239198731656,1042
5ajj,-31.35,-43.40307789052795,12.053077890527952,12.053077890527952,167
2kgx,-28.8,-40.635541970761516,11.835541970761515,11.835541970761515,265
2kxh,-27.7,-39.23424146689315,11.534241466893153,11.534241466893153,230
2jy6,-26.82,-38.017292347692205,11.197292347692205,11.197292347692205,128
