pdb_id	delta_G	Avg_Bfactor_Total	Avg_Bfactor_Interface
1fc2	-43.65	28.67	30.9
3sgb	-61.34	14.02	10.53
2tgp	-32.08	17.1	15.16
2ptc	-75.47	24.28	20.35
2sni	-66.77	12.83	10.02
1atn	-53.35	27.34	14.28
1gla	-38.5	27.93	26.13
1acb	-55.36	30.07	28.18
2pcc	-33.08	32.97	41.17
2pcb	-28.54	33.6	39.56
2sic	-57.92	20.43	18.44
2cpk	-49.3	19.17	14.47
2iff	-45.66	22.67	15.82
1brs	-79.26	26.32	21.35
2btf	-32.18	20.25	17.4
1vfb	-48.62	24.61	15.41
1hrt	-65.77	12.61	14.75
1ppe	-65.77	14.26	9.75
2mta	-30.52	19.28	13.39
1nca	-46.12	18.64	17.51
1smf	-39.5	7.29	5.46
1ihs	-54.35	25.37	27.4
1nsn	-57.08	18.9	15.75
1bql	-39.95	22.81	16.45
1nma	-44.83	22.5	22.5
1mlc	-40.19	29.32	21.31
1rlb	-34.8	29.31	24.67
1mah	-60.51	35.44	28.9
1mtn	-45.79	43.92	41.66
1tbr	-72.48	38.01	34.61
1tbq	-72.48	12.7	12.0
1dit	-68.49	24.72	26.11
1efn	-36.64	33.27	32.24
1akj	-22.26	26.24	18.57
1ak4	-27.22	21.72	20.72
1gua	-42.23	18.68	13.42
1ycs	-42.94	53.4	56.53
1bth	-45.66	35.25	30.96
1hia	-45.01	45.66	34.6
1cbw	-44.5	35.12	33.42
1toc	-68.49	34.32	33.7
1dhk	-59.68	17.94	16.06
1dfj	-75.51	49.29	50.33
1fle	-46.93	23.39	22.84
1ca0	-46.51	39.11	37.69
1b27	-79.91	27.76	23.42
1wej	-41.22	20.55	16.55
1a22	-54.04	30.75	28.43
1a3b	-54.35	25.65	24.56
1b2u	-39.95	28.05	22.77
1xdt	-45.66	37.79	30.95
1b3s	-56.69	33.9	30.14
1jrh	-44.79	62.65	50.33
1axi	-44.83	27.73	30.17
1avz	-27.4	37.17	36.63
1a2k	-38.95	39.16	34.26
1b2s	-55.96	21.63	18.12
1wq1	-27.22	38.56	27.75
2vir	-51.37	28.29	22.88
2jel	-48.82	36.9	25.26
1avg	-65.77	27.56	20.42
2vis	-30.81	28.84	24.29
1avx	-75.47	26.56	16.67
1buh	-40.6	24.28	20.02
1kig	-55.62	15.06	15.0
1an1	-51.63	26.46	21.59
1ldt	-49.91	20.07	16.65
1fmo	-49.3	42.29	32.17
1ahw	-48.34	38.22	26.35
1azz	-53.04	20.69	17.61
1bvn	-63.05	26.44	26.88
1ugh	-64.05	41.04	41.52
1vpp	-30.75	24.45	23.47
1b6c	-37.4	37.32	34.63
1ibr	-54.35	41.84	32.11
1flt	-50.61	30.61	32.06
1uug	-33.6	26.76	21.54
1lfd	-32.66	24.0	18.63
1kac	-44.69	44.89	42.59
1sbb	-22.0	41.99	38.43
1bvk	-44.83	31.1	24.63
1eer	-51.37	34.16	23.51
1tba	-51.37	0.0	0.0
1ay7	-34.25	22.72	18.59
1cn4	-34.25	41.02	18.86
1qa9	-34.25	77.02	76.34
1bj1	-48.34	41.93	27.82
1grn	-36.59	30.46	29.47
1qfu	-48.65	44.56	32.66
1vrk	-46.62	29.73	26.84
1qse	-29.35	66.09	52.15
4thn	-57.34	47.42	47.76
1qur	-71.56	28.56	28.9
1fak	-53.64	27.53	21.2
1cmx	-32.93	54.71	50.45
1es0	-42.23	36.33	30.59
1fg9	-57.08	60.66	51.17
1cz8	-56.84	50.46	42.89
1g9i	-39.5	20.88	28.75
1d6r	-56.43	21.65	15.71
1fsk	-54.91	63.32	48.49
1ffx	-38.24	67.13	62.14
1dee	-36.52	47.71	40.15
1e4k	-32.93	95.36	77.44
1qfw	-45.66	25.25	22.05
1qty	-62.78	63.56	61.7
1du3	-44.51	25.51	28.15
1e96	-31.78	29.95	21.98
1dqj	-48.82	24.71	21.4
1ees	-43.94	10.0	10.0
1emv	-77.74	26.43	23.36
1de4	-43.49	66.26	66.53
1e6j	-43.02	57.15	46.57
1djs	-42.16	29.34	25.77
1dzb	-35.87	31.98	23.16
1f3v	-29.15	34.95	28.67
1g6v	-40.77	10.64	14.98
1eo8	-45.95	38.79	30.0
1efx	-28.67	63.57	52.98
1clv	-51.37	18.22	17.59
1ezu	-57.63	44.29	37.97
1ezs	-55.62	38.38	30.61
1dp5	-51.63	26.34	26.03
1c9t	-51.37	19.7	13.62
1c9p	-51.37	22.12	23.08
1icf	-67.18	29.17	24.59
1dpj	-48.65	23.66	24.33
1fy8	-28.8	15.41	11.37
1hqr	-39.95	41.82	34.64
1i4e	-39.5	62.26	62.04
1hez	-39.03	45.77	42.8
1f34	-57.08	41.82	33.26
1i8l	-38.24	71.81	51.62
1hxy	-53.09	43.1	34.25
1g5j	-52.64	1.36	1.22
1e6e	-34.62	29.4	34.1
1ffw	-33.79	47.58	49.07
1iqd	-61.95	23.47	20.8
1gcq	-27.25	17.37	16.3
1e3u	-34.25	17.92	18.63
1i2m	-66.22	35.47	31.58
1he8	-31.97	70.41	63.5
1hcf	-54.71	46.03	43.56
1fe8	-32.53	37.97	33.16
1ewy	-31.09	50.1	71.16
1ib1	-19.73	16.29	14.73
1j7v	-59.68	50.36	41.04
