PDB_ID	ΔG_kJ/mol
1fc2	-43.65
3sgb	-61.34
2tgp	-32.08
2ptc	-75.47
2sni	-66.77
1acb	-55.36
2sic	-57.92
2cpk	-49.3
1brs	-79.26
2btf	-32.18
1ppe	-65.77
1smf	-39.5
1mah	-60.51
1efn	-36.64
1ak4	-27.22
1gua	-42.23
1ycs	-42.94
1dfj	-75.51
1fle	-46.93
1b27	-79.91
1a22	-54.04
1b2u	-39.95
1xdt	-45.66
1b3s	-56.69
1axi	-44.83
1avz	-27.4
1b2s	-55.96
1wq1	-27.22
1avx	-75.47
1buh	-40.6
1an1	-51.63
1ldt	-49.91
1fmo	-49.3
1bvn	-63.05
1ugh	-64.05
1vpp	-30.75
1flt	-50.61
1uug	-33.6
1lfd	-32.66
1kac	-44.69
1eer	-51.37
1tba	-51.37
1ay7	-34.25
1cn4	-34.25
1qa9	-34.25
1grn	-36.59
1vrk	-46.62
1cmx	-32.93
1es0	-42.23
1g9i	-39.5
1d6r	-56.43
1e4k	-32.93
1e96	-31.78
1ees	-43.94
1emv	-77.74
1djs	-42.16
1f3v	-29.15
1g6v	-40.77
1clv	-51.37
1dp5	-51.63
1c9p	-51.37
1dpj	-48.65
1fy8	-28.8
1i4e	-39.5
1f34	-57.08
1g5j	-52.64
1ffw	-33.79
1gcq	-27.25
1hcf	-54.71
1j7v	-59.68
1i4d	-31.52
1i5k	-42.1
1jiw	-65.06
1j7d	-32.53
1gl0	-51.92
1eja	-51.37
1f7z	-28.01
3tgk	-28.09
1jtd	-60.3
1f5r	-23.9
1lzw	-36.99
1l4z	-38.28
1l4d	-38.28
1mxe	-68.49
1lj2	-26.08
1ktz	-37.31
1lw6	-66.77
1kbh	-42.63
1h59	-42.42
1eaw	-58.81
1m10	-47.01
1jsp	-24.55
1l8c	-46.55
1m1e	-51.37
1jgn	-36.85
1op9	-52.25
1p27	-52.25
1lx5	-50.92
1p3q	-33.79
1j2j	-33.41
1jh4	-33.24
1mzw	-32.57
1nys	-45.66
1nyu	-45.66
1p9d	-27.91
1uad	-39.17
1otr	-21.74
1pjm	-38.5
1o9a	-34.25
1m5n	-49.53
1psb	-26.82
1pjn	-43.71
1q0w	-20.31
1r0r	-60.11
1lp1	-32.53
1ozs	-25.73
1q68	-36.52
1h0t	-29.8
1q69	-34.51
1oc0	-51.37
1oph	-47.38
1nw9	-45.01
1pxv	-54.27
1mcv	-40.0
1rv6	-39.16
1xu1	-48.69
1ry7	-37.89
1u0s	-37.89
1xqh	-38.24
1pd7	-37.23
1xd3	-37.23
1us7	-32.79
1xr0	-28.54
1sv0	-45.4
1vet	-45.05
1veu	-45.05
1q5w	-22.26
1tdq	-45.21
1r8u	-45.01
1syq	-44.71
1sb0	-27.53
1sg1	-38.42
1t44	-34.25
1xt9	-38.24
1vyt	-43.94
1u7v	-37.26
1usu	-31.29
1uel	-31.21
1tlh	-20.11
1sq0	-42.94
1p6a	-42.56
1rkc	-42.29
1t01	-42.29
1rke	-41.67
1u7f	-41.3
1ty4	-46.77
1s4y	-46.59
1u0i	-40.84
1p69	-40.63
1s1q	-18.84
1tm7	-65.53
1tm1	-65.77
1tm5	-61.47
1tm3	-61.19
1tm4	-56.43
1to1	-53.29
1uuz	-43.39
1te1	-48.34
1ta3	-45.92
1zjd	-52.48
1yc0	-49.65
1zhi	-38.24
1r6q	-36.99
1wlp	-35.35
1y8n	-33.86
2c1m	-51.13
1ydi	-49.94
2b4j	-45.45
2b0z	-22.83
1v18	-45.66
1z92	-45.66
1wa8	-45.43
1x1y	-27.95
2a7u	-39.5
1x1u	-44.97
1wr1	-27.57
1t63	-27.53
1x75	-44.27
1y6m	-38.6
1yd8	-21.36
1y6k	-51.37
1yru	-51.37
2byk	-32.18
2bym	-32.18
2be6	-48.97
1ri8	-48.73
2b12	-26.82
2bqz	-26.82
2aw2	-43.39
1t0p	-26.27
1x1w	-43.26
1y6n	-43.2
1vrc	-25.95
1t5z	-25.58
1yx5	-19.73
1xj7	-25.16
1u5s	-14.4
1wrd	-19.34
1zc3	-42.1
1zc4	-42.1
1x1x	-41.53
1pk1	-41.48
1xg2	-47.38
1y76	-30.26
2a78	-41.22
2a9k	-41.22
1zsg	-29.25
1zmy	-46.34
1z0k	-29.19
1yx6	-23.61
1rjc	-57.72
1wqj	-34.61
1wa7	-28.64
1y3c	-60.51
1y3b	-54.27
1y1k	-54.35
1y34	-52.99
1y3d	-52.81
1y4a	-50.92
1y4d	-50.92
1zli	-50.72
1y33	-50.05
1y48	-50.05
1wpx	-49.91
1zr0	-45.01
2hev	-42.86
2gng	-31.52
2gww	-56.84
1zvy	-57.08
2cjs	-39.95
2dx5	-19.87
2b7c	-36.52
2fu5	-52.25
2ixq	-35.13
2b42	-51.2
