pdb_id	delta_G	complex_count	delta_H
1fc2	-43.65	251	-57.08
3sgb	-61.34	235	-74.48
2tgp	-32.08	281	-46.04
2ptc	-75.47	281	-89.43
2sni	-66.77	339	-81.77
1atn	-53.35	629	-73.54
1gla	-38.50	650	-59.06
1acb	-55.36	304	-69.74
2pcc	-33.08	804	-56.40
2pcb	-28.54	692	-49.85
2sic	-57.92	382	-73.69
2cpk	-49.30	353	-64.55
1brs	-79.26	588	-98.71
2btf	-32.18	512	-50.27
1ppe	-65.77	252	-79.22
1smf	-39.50	232	-52.59
1rlb	-34.80	834	-58.65
1mah	-60.51	594	-80.07
1efn	-36.64	322	-51.34
1ak4	-27.22	618	-47.21
1gua	-42.23	243	-55.51
1ycs	-42.94	384	-58.75
1dhk	-59.68	690	-80.96
1dfj	-75.51	580	-94.82
1fle	-46.93	287	-61.00
1b27	-79.91	587	-99.35
1a22	-54.04	372	-69.63
1b2u	-39.95	587	-59.39
1xdt	-45.66	559	-64.59
1b3s	-56.69	587	-76.13
1axi	-44.83	366	-60.31
1avz	-27.40	260	-40.99
1a2k	-38.95	848	-63.05
1b2s	-55.96	599	-75.61
1wq1	-27.22	486	-44.85
1avx	-75.47	395	-91.47
1buh	-40.60	357	-55.92
1an1	-51.63	262	-65.25
1ldt	-49.91	269	-63.66
1fmo	-49.30	356	-64.61
1azz	-53.04	727	-74.98
1bvn	-63.05	567	-82.13
1ugh	-64.05	305	-78.44
1vpp	-30.75	224	-43.70
1b6c	-37.40	1732	-77.31
1ibr	-54.35	1234	-85.35
1flt	-50.61	382	-66.38
1uug	-33.60	607	-53.39
1lfd	-32.66	508	-50.68
1kac	-44.69	309	-59.15
1sbb	-22.00	950	-47.93
1eer	-51.37	592	-70.89
1tba	-51.37	247	-64.73
1ay7	-34.25	185	-46.50
1cn4	-34.25	589	-53.72
1qa9	-34.25	394	-50.23
1grn	-36.59	388	-52.47
1vrk	-46.62	167	-58.55
1cmx	-32.93	515	-51.08
1es0	-42.23	372	-57.82
1fg9	-57.08	862	-81.43
1g9i	-39.50	245	-52.82
1d6r	-56.43	281	-70.39
1e4k	-32.93	604	-52.67
1qty	-62.78	757	-85.26
1du3	-44.51	1490	-80.09
1e96	-31.78	363	-47.21
1ees	-43.94	224	-56.89
1emv	-77.74	214	-90.51
1djs	-42.16	336	-57.11
1dzb	-35.87	706	-57.43
1f3v	-29.15	322	-43.85
1g6v	-40.77	382	-56.54
1clv	-51.37	502	-69.29
1ezu	-57.63	726	-79.55
1ezs	-55.62	696	-77.00
1dp5	-51.63	360	-67.01
1c9t	-51.37	1656	-89.92
1c9p	-51.37	272	-65.17
1dpj	-48.65	358	-63.99
1fy8	-28.80	271	-42.59
1i4e	-39.50	536	-58.02
1f34	-57.08	463	-74.30
1i8l	-38.24	634	-58.52
1g5j	-52.64	200	-65.16
1e6e	-34.62	1132	-63.80
1ffw	-33.79	392	-49.74
1gcq	-27.25	182	-39.44
1e3u	-34.25	970	-60.53
1i2m	-66.22	1107	-94.95
1he8	-31.97	915	-57.27
1hcf	-54.71	444	-71.59
1ewy	-31.09	704	-52.62
1ib1	-19.73	1620	-57.64
1j7v	-59.68	355	-74.97
1i4d	-31.52	550	-50.29
1i5k	-42.10	211	-54.81
1jiw	-65.06	575	-84.28
1j7d	-32.53	289	-46.64
1jtg	-56.84	853	-81.03
1gl1	-56.43	817	-79.98
1gl0	-51.92	273	-65.74
1eja	-51.37	276	-65.24
1f7z	-28.01	269	-41.76
3tgk	-28.09	273	-41.91
1jtd	-60.30	535	-78.81
1f5r	-23.90	273	-37.72
1gpw	-44.07	1360	-77.33
1lzw	-36.99	237	-50.17
1l2w	-54.35	1172	-84.25
1go4	-34.15	1146	-63.58
1jwh	-45.09	1075	-73.25
1l4z	-38.28	373	-53.89
1l4d	-38.28	361	-53.67
1kxp	-51.37	787	-74.38
1mxe	-68.49	338	-83.47
1k93	-43.94	1884	-86.57
1ktk	-26.82	1200	-57.22
1kxt	-37.84	1857	-79.98
1kgy	-43.39	1276	-75.14
1kxv	-43.39	1232	-74.36
1lj2	-26.08	265	-39.76
1ktz	-37.31	188	-49.61
1lw6	-66.77	344	-81.86
1kxq	-48.26	2464	-101.26
1kbh	-42.63	106	-53.47
1h59	-42.42	99	-53.13
1gng	-42.29	757	-64.77
1kkl	-41.93	762	-64.49
1eaw	-58.81	594	-78.37
1lqs	-47.93	697	-69.33
1gxd	-47.28	1631	-85.38
1m10	-47.01	466	-64.28
1jsp	-24.55	140	-35.99
1l0x	-29.80	914	-55.08
1l8c	-46.55	146	-58.10
1m1e	-51.37	577	-70.63
1l0y	-29.80	913	-55.06
1jgn	-36.85	120	-47.94
1ogy	-53.09	7336	-193.20
1op9	-52.25	251	-65.68
1p27	-52.25	472	-69.63
1lx5	-50.92	198	-63.40
1p3q	-33.79	224	-46.74
1j2j	-33.41	206	-46.03
1jh4	-33.24	120	-44.33
1mzw	-32.57	204	-45.16
1oqe	-39.74	1681	-78.74
1nys	-45.66	343	-60.73
1nyu	-45.66	320	-60.32
1p9d	-27.91	110	-38.82
1uad	-39.17	530	-57.59
1otr	-21.74	125	-32.91
1pjm	-38.50	447	-55.43
1o9a	-34.25	117	-45.28
1m5n	-49.53	513	-67.64
1psb	-26.82	234	-39.94
1pjn	-43.71	447	-60.64
1h1v	-43.60	695	-64.97
1q0w	-20.31	100	-31.04
1r0r	-60.11	325	-74.86
1lp1	-32.53	109	-43.42
1ozs	-25.73	93	-36.33
1mq8	-31.52	722	-53.37
1q68	-36.52	67	-46.66
1oey	-47.93	696	-69.31
1h0t	-29.80	116	-40.81
1pvh	-40.51	740	-62.68
1q69	-34.51	48	-44.31
1oc0	-51.37	401	-67.48
1nvu	-31.07	801	-54.33
1nf3	-41.67	634	-61.95
1oph	-47.38	598	-67.01
1nw9	-45.01	329	-59.83
1pxv	-54.27	588	-73.72
1mcv	-40.00	268	-53.73
1oyv	-45.92	652	-66.52
1rpq	-44.50	746	-66.78
1xxf	-39.95	750	-62.30
1rv6	-39.16	373	-54.77
1xx9	-50.36	749	-72.69
1xu1	-48.69	524	-67.00
1xxd	-37.23	747	-59.53
1ry7	-37.89	364	-53.34
1u0s	-37.89	204	-50.48
1xqh	-38.24	510	-56.30
1pd7	-37.23	109	-48.12
1xd3	-37.23	606	-57.01
1t6b	-53.64	846	-77.71
1us7	-32.79	401	-48.90
1xr0	-28.54	151	-40.18
1sv0	-45.40	319	-60.04
1vet	-45.05	240	-58.28
1veu	-45.05	237	-58.23
1q5w	-22.26	107	-33.11
1tdq	-45.21	397	-61.25
1r8u	-45.01	150	-56.63
1syq	-44.71	284	-58.73
1sb0	-27.53	112	-38.47
1tzn	-55.76	10262	-248.18
1sg1	-38.42	361	-53.81
1t44	-34.25	502	-52.17
1th1	-49.53	1127	-78.62
1xt9	-38.24	284	-52.26
1vyt	-43.94	611	-63.80
1w1w	-20.46	1539	-56.92
1u7v	-37.26	598	-56.89
1usu	-31.29	378	-46.99
1usv	-31.29	1569	-68.28
1uel	-31.21	143	-42.71
1tlh	-20.11	157	-31.86
1sq0	-42.94	463	-60.16
1p6a	-42.56	309	-57.02
1rkc	-42.29	284	-56.31
1t01	-42.29	279	-56.22
1oyh	-42.10	826	-65.81
1rke	-41.67	438	-58.44
1u7f	-41.30	583	-60.66
1vg0	-47.38	663	-68.17
