pdb_id,delta_G,complex_count,mean_nearest_opposite_A,mean_nonpolar_to_nonpolar_cross_A,mean_nonpolar_to_charged_cross_A
1fc2,-43.65,251,12.882058,7.425219,12.351416
3sgb,-61.34,235,,,
2tgp,-32.08,281,9.317148,7.257919,8.856553
2ptc,-75.47,281,8.633218,7.280448,8.601627
2sni,-66.77,339,10.043248,6.839483,10.169143
1atn,-53.35,629,11.559006,7.089456,10.105631
1gla,-38.5,650,10.155881,7.184252,8.923123
1acb,-55.36,304,14.696280,7.360483,9.959849
2pcc,-33.08,804,9.380500,8.193848,12.807014
2pcb,-28.54,692,9.218095,12.059496,9.148134
2sic,-57.92,382,12.124660,6.372028,10.328432
2cpk,-49.3,353,8.736181,7.442590,8.216314
1brs,-79.26,588,8.031903,8.662661,8.337550
2btf,-32.18,512,9.531082,7.623044,8.690741
1ppe,-65.77,252,11.856882,7.640332,9.443183
1smf,-39.5,232,8.341516,8.096083,8.409152
1rlb,-34.8,834,8.179156,7.140020,13.009794
1mah,-60.51,594,8.971378,8.090136,8.432799
1efn,-36.64,322,8.408821,6.646257,8.501101
1ak4,-27.22,618,,6.926064,
1gua,-42.23,243,8.498956,7.929991,8.662461
1ycs,-42.94,384,8.464975,8.301517,9.295399
1dhk,-59.68,690,11.961159,8.665057,9.555397
1dfj,-75.51,580,10.160532,10.112310,9.345108
1fle,-46.93,287,10.340234,7.820772,9.025302
1b27,-79.91,587,7.857389,8.648767,8.277559
1a22,-54.04,372,9.494365,7.358324,8.280484
1b2u,-39.95,587,9.527883,8.397964,8.690700
1xdt,-45.66,559,8.813689,7.566118,8.438783
1b3s,-56.69,587,7.838526,7.610489,8.264577
1axi,-44.83,366,12.015062,7.854928,8.062342
1avz,-27.4,260,9.838863,10.159675,7.642208
1a2k,-38.95,848,11.475756,6.951879,9.677895
1b2s,-55.96,599,7.765108,8.526557,8.450028
1wq1,-27.22,486,9.794948,7.684187,8.565191
1avx,-75.47,395,8.794788,8.127006,9.493582
1buh,-40.6,357,12.069009,9.080505,8.369057
1an1,-51.63,262,8.344788,7.009324,9.446147
1ldt,-49.91,269,9.662061,6.983261,9.286120
1fmo,-49.3,356,8.987469,7.384876,8.202448
1azz,-53.04,727,12.813417,6.680640,10.671821
1bvn,-63.05,567,11.497258,7.643390,10.467997
1ugh,-64.05,305,9.339575,8.218733,10.280241
1vpp,-30.75,224,9.244335,6.155395,8.334720
1b6c,-37.4,1732,15.193841,7.847510,9.812330
1ibr,-54.35,1234,8.996862,8.916934,9.961238
1flt,-50.61,382,12.268788,8.361737,9.484178
1uug,-33.6,607,11.481260,8.752240,10.140209
1lfd,-32.66,508,8.440719,8.520274,7.850811
1kac,-44.69,309,10.929572,8.039668,10.626725
1sbb,-22.0,950,11.860453,9.725468,9.202947
1eer,-51.37,592,10.196435,7.586224,8.775350
1tba,-51.37,247,8.436059,7.077869,9.200588
1ay7,-34.25,185,7.613797,9.296125,7.691260
1cn4,-34.25,589,10.730083,7.832192,9.704432
1qa9,-34.25,394,8.217771,12.390680,6.688203
1grn,-36.59,388,12.946777,8.041354,8.962031
1vrk,-46.62,167,7.982071,7.793766,9.237699
1cmx,-32.93,515,8.444144,7.392255,8.989160
1es0,-42.23,372,10.402538,7.096961,8.837544
1fg9,-57.08,862,10.280329,7.044027,9.307267
1g9i,-39.5,245,8.822508,7.905851,8.627203
1d6r,-56.43,281,9.896444,8.988961,9.931362
