pdb_id	delta_G_kJ_per_mol	total_sasa_A2	T_K	delta_S_est_kJ_per_molK	T_delta_S_kJ_per_mol	delta_H_kJ_per_mol
1fc2	-43.65	15381.64	298.15	0.04568777358327178	13.62180969385248	-30.02819030614752
3sgb	-61.34	9810.36	298.15	0.042528597686892176	12.679901400346901	-48.660098599653104
2tgp	-32.08	12283.27	298.15	0.04401899853769876	13.124264414014883	-18.955735585985117
2ptc	-75.47	11788.16	298.15	0.04373355598525014	13.039159717002327	-62.43084028299767
2sni	-66.77	12804.32	298.15	0.04431324980568704	13.211995429565588	-53.558004570434406
1atn	-53.35	25881.07	298.15	0.05034937640322179	15.011666574620575	-38.338333425379425
1gla	-38.5	25735.73	298.15	0.05029215809124303	14.994606934904109	-23.50539306509589
1acb	-55.36	15347.57	298.15	0.045670389912187886	13.616626752318817	-41.743373247681184
2pcc	-33.08	35561.1	298.15	0.053853251350706885	16.056346890213256	-17.023653109786743
2pcb	-28.54	30890.8	298.15	0.052231797048371956	15.572910289972098	-12.967089710027901
2sic	-57.92	14401.32	298.15	0.045179628453951036	13.470306223545501	-44.4496937764545
2cpk	-49.3	15377.61	298.15	0.04568571834504241	13.621196924574393	-35.678803075425606
2iff	-45.66	24236.67	298.15	0.049692301033652714	14.815759553183556	-30.844240446816443
1brs	-79.26	27299.16	298.15	0.050899439226926635	15.175667805508175	-64.08433219449184
2btf	-32.18	22070.0	298.15	0.04879148743447415	14.547181978588467	-17.63281802141153
1vfb	-48.62	15054.35	298.15	0.04551997422678272	13.571780315715268	-35.04821968428473
1hrt	-65.77	17389.4	298.15	0.046680239806429644	13.917713498286997	-51.852286501712996
1ppe	-65.77	10125.58	298.15	0.04272828660896666	12.739438652463408	-53.03056134753659
2mta	-30.52	31521.71	298.15	0.052457679310204786	15.640257086337556	-14.879742913662444
1nca	-46.12	33750.75	298.15	0.053238158274699826	15.872956889601753	-30.247043110398245
1smf	-39.5	9767.44	298.15	0.04250116154603243	12.671721314949568	-26.82827868505043
1ihs	-54.35	12183.2	298.15	0.04396177639127629	13.107203631059026	-41.24279636894097
1nsn	-57.08	26070.76	298.15	0.050423813551832085	15.033860010478735	-42.046139989521265
1bql	-39.95	24730.28	298.15	0.04989181942407481	14.875245961287902	-25.0747540387121
1nma	-44.83	25824.82	298.15	0.050327250674894526	15.005069788719801	-29.824930211280197
1mlc	-40.19	48219.09	298.15	0.05777598675114891	17.225910449855046	-22.96408955014495
1rlb	-34.8	38346.21	298.15	0.05476972668399875	16.329594010834228	-18.47040598916577
1mah	-60.51	22684.78	298.15	0.049051416745218714	14.624679902586958	-45.88532009741304
1mtn	-45.79	24117.62	298.15	0.04964387741765866	14.801322052074928	-30.98867794792507
1tbr	-72.48	35405.97	298.15	0.05380116635797498	16.04081774963024	-56.43918225036977
1tbq	-72.48	36606.93	298.15	0.05420146441850162	16.160166616376255	-56.319833383623745
1dit	-68.49	12866.29	298.15	0.04434784443740592	13.222309819012574	-55.26769018098742
1efn	-36.64	16544.21	298.15	0.046269829747111677	13.795349739101345	-22.844650260898653
1akj	-22.26	28359.1	298.15	0.05130130512433451	15.295484122820334	-6.964515877179668
1ak4	-27.22	29488.74	298.15	0.05172141431859353	15.420739679088658	-11.79926032091134
1gua	-42.23	12168.26	298.15	0.04395321325000087	13.10465053048776	-29.125349469512237
1ycs	-42.94	18252.48	298.15	0.0470891684993741	14.039635588088386	-28.90036441191161
1bth	-45.66	30725.39	298.15	0.05217219520029534	15.555139998968055	-30.10486000103194
1hia	-45.01	24321.5	298.15	0.04972673313045016	14.826025482843715	-30.183974517156283
1cbw	-44.5	23969.37	298.15	0.04958340930481718	14.78329348423124	-29.71670651576876
1toc	-68.49	69762.09	298.15	0.0634094812889994	18.90553684631517	-49.58446315368482
1dhk	-59.68	24052.32	298.15	0.04961726586453882	14.793387817512249	-44.88661218248775
1dfj	-75.51	23556.12	298.15	0.04941385896724296	14.732742051083486	-60.77725794891652
1fle	-46.93	13226.87	298.15	0.04454750562811371	13.2818388030221	-33.648161196977895
1ca0	-46.51	25327.5	298.15	0.050130573762314876	14.946430567234179	-31.563569432765817
1b27	-79.91	26500.31	298.15	0.05059138072106871	15.083820161986635	-64.82617983801336
1wej	-41.22	24032.04	298.15	0.0496089938548616	14.790921517826986	-26.42907848217301
1a22	-54.04	17806.89	298.15	0.046879284345018896	13.977058627467382	-40.06294137253262
1a3b	-54.35	12791.61	298.15	0.044306144134601745	13.20987687373151	-41.14012312626849
1b2u	-39.95	27551.18	298.15	0.05099568717617978	15.204364131578	-24.745635868422003
1xdt	-45.66	25941.6	298.15	0.05037315881251604	15.018757299951657	-30.641242700048338
1b3s	-56.69	27865.96	298.15	0.05111528735300564	15.24002292429863	-41.44997707570137
1jrh	-44.79	22793.84	298.15	0.04909715790373007	14.63831762899712	-30.151682371002877
1axi	-44.83	18603.43	298.15	0.04725267747336627	14.088385788684151	-30.74161421131585
1avz	-27.4	13955.35	298.15	0.044942744058572376	13.399679141063352	-14.000320858936647
1a2k	-38.95	37656.93	298.15	0.05454609704209612	16.262918833100958	-22.687081166899045
1b2s	-55.96	28622.77	298.15	0.05140010093434141	15.32494009357389	-40.63505990642611
1wq1	-27.22	21407.24	298.15	0.04850718347020962	14.462416751642996	-12.757583248357003
2vir	-51.37	30305.37	298.15	0.05202012534024272	15.509800370193366	-35.86019962980663
2jel	-48.82	23208.24	298.15	0.04926997249608831	14.68984229970873	-34.13015770029127
1avg	-65.77	28681.26	298.15	0.05142195509284808	15.331455910932654	-50.43854408906734
2vis	-30.81	30201.48	298.15	0.05198234928300431	15.498537438727734	-15.311462561272265
1avx	-75.47	17986.42	298.15	0.046964159867202385	14.00236426440639	-61.46763573559361
1buh	-40.6	17871.19	298.15	0.04690973210905483	13.986136628314696	-26.613863371685305
1kig	-55.62	16103.38	298.15	0.04605160677315514	13.730286559416204	-41.88971344058379
1an1	-51.63	11206.17	298.15	0.04339024719712074	12.936802201821548	-38.69319779817845
1ldt	-49.91	11694.2	298.15	0.04367871338978926	13.022808397165667	-36.88719160283433
1fmo	-49.3	16668.78	298.15	0.046330966903401646	13.8135777822492	-35.4864222177508
1ahw	-48.34	55538.8	298.15	0.059809743373601856	17.83227498683939	-30.507725013160613
1azz	-53.04	28009.68	298.15	0.05116966886845423	15.256236773129627	-37.78376322687037
1bvn	-63.05	20314.95	298.15	0.048028843556922884	14.319799706496557	-48.730200293503444
1ugh	-64.05	13034.73	298.15	0.044441456990207046	13.25022040163023	-50.79977959836977
1vpp	-30.75	14568.22	298.15	0.04526733506542645	13.496455949756895	-17.253544050243107
1b6c	-37.4	77955.3	298.15	0.06531691945795953	19.474239536390634	-17.925760463609365
1ibr	-54.35	54584.98	298.15	0.05955265944039555	17.755625412153933	-36.59437458784607
1flt	-50.61	20924.56	298.15	0.04829734844178249	14.399854437917448	-36.21014556208255
1uug	-33.6	27130.32	298.15	0.050834709501214555	15.156368637787118	-18.443631362212884
1lfd	-32.66	23906.98	298.15	0.04955790581836409	14.775689619745252	-17.884310380254746
1kac	-44.69	13856.47	298.15	0.04488971188438513	13.383867598329427	-31.30613240167057
1sbb	-22.0	44814.35	298.15	0.05677740838841579	16.928184311006166	-5.0718156889938335
1bvk	-44.83	31849.67	298.15	0.05257420474789754	15.674999145585652	-29.155000854414347
1eer	-51.37	29685.89	298.15	0.051793903734760324	15.44235239851879	-35.92764760148121
1tba	-51.37	14609.5	298.15	0.045288950258274764	13.50290051950462	-37.867099480495376
1ay7	-34.25	9506.55	298.15	0.04233307747482355	12.62160704911864	-21.62839295088136
1cn4	-34.25	29756.99	298.15	0.05181998716773224	15.450129174059366	-18.799870825940634
1qa9	-34.25	23587.25	298.15	0.04942668268130202	14.736565441430196	-19.513434558569806
1bj1	-48.34	47096.6	298.15	0.05745078505252627	17.128951563410705	-31.211048436589298
1grn	-36.59	18058.8	298.15	0.04699825873435276	14.012530841647274	-22.577469158352727
1qfu	-48.65	41651.47	298.15	0.05581518003036198	16.641295926052425	-32.00870407394757
1vrk	-46.62	10119.82	298.15	0.04272466581093586	12.738359111530526	-33.88164088846947
1qse	-29.35	38249.97	298.15	0.054738624052279056	16.320320761187	-13.029679238813003
1qur	-71.56	14812.54	298.15	0.0453948251045603	13.534467104924651	-58.02553289507535
1fak	-53.64	25977.08	298.15	0.05038708610861298	15.022909723282957	-38.61709027671704
1cmx	-32.93	22007.7	298.15	0.04876494604308789	14.539268662746654	-18.390731337253346
1es0	-42.23	18020.43	298.15	0.046980190811648725	14.007143890493067	-28.222856109506928
1fg9	-57.08	45674.32	298.15	0.05703311154861756	17.004422208220323	-40.07557779177968
1cz8	-56.84	45714.5	298.15	0.05704499953780735	17.00796661219726	-39.83203338780274
1g9i	-39.5	11755.42	298.15	0.04371447118922199	13.033469585066536	-26.466530414933466
1d6r	-56.43	12492.84	298.15	0.044138084735918084	13.159769964013975	-43.270230035986025
1fsk	-54.91	105545.94	298.15	0.07109422149159172	21.196742137718072	-33.71325786228192
1ffx	-38.24	72700.73	298.15	0.06410588922752197	19.113170873185673	-19.12682912681433
1dee	-36.52	60551.23	298.15	0.06112586834130094	18.224677645958874	-18.29532235404113
1e4k	-32.93	32717.03	298.15	0.05287952097400643	15.766029178400016	-17.16397082159998
1qfw	-45.66	31217.12	298.15	0.05234891317268023	15.60782846243461	-30.052171537565386
1qty	-62.78	38883.33	298.15	0.05494259970412066	16.381136101783575	-46.398863898216426
1du3	-44.51	63244.68	298.15	0.061810609550902985	18.428833237601722	-26.081166762398276
1e96	-31.78	17850.27	298.15	0.04689983195182722	13.983184896437283	-17.796815103562718
1dqj	-48.82	24656.71	298.15	0.04986220934337366	14.866417715726856	-33.953582284273146
1ees	-43.94	14956.12	298.15	0.04546925725430927	13.556659050372307	-30.38334094962769
1emv	-77.74	11764.06	298.15	0.0437195101953386	13.034971964740203	-64.70502803525979
1de4	-43.49	123935.38	298.15	0.07453050729556088	22.221270750171474	-21.268729249828528
1e6j	-43.02	32671.97	298.15	0.05286375997074847	15.761330035278656	-27.25866996472135
1djs	-42.16	17632.47	298.15	0.046796413902973455	13.952350805171534	-28.207649194828463
1dzb	-35.87	29794.78	298.15	0.05183383795854499	15.454258787340187	-20.41574121265981
1f3v	-29.15	16714.01	298.15	0.04635310857299003	13.820179321036976	-15.329820678963022
1g6v	-40.77	16387.58	298.15	0.04619263042251011	13.772332760471388	-26.997667239528617
1eo8	-45.95	42284.08	298.15	0.056010484040094295	16.699525816554114	-29.25047418344589
1efx	-28.67	39702.79	298.15	0.055204059990406305	16.45909048613964	-12.210909513860361
1clv	-51.37	16074.4	298.15	0.046037156855253364	13.725978316393789	-37.64402168360621
1ezu	-57.63	30890.68	298.15	0.05223175386693546	15.572897415426807	-42.057102584573194
1ezs	-55.62	29287.97	298.15	0.051647344409880856	15.398655735805976	-40.22134426419402
1dp5	-51.63	15792.35	298.15	0.0458958359327215	13.683843483340913	-37.94615651665909
1c9t	-51.37	68704.84	298.15	0.06315535311228038	18.829768530426392	-32.540231469573605
1c9p	-51.37	13539.57	298.15	0.04471846187616084	13.332809408377353	-38.03719059162265
1icf	-67.18	28854.24	298.15	0.051486457130015637	15.35068719331416	-51.82931280668585
1dpj	-48.65	14815.58	298.15	0.0453964047751415	13.534938083708438	-35.11506191629156
1fy8	-28.8	13240.64	298.15	0.04455507609049159	13.284095936380067	-15.515904063619933
1hqr	-39.95	26484.35	298.15	0.050585179134513256	15.081971158955126	-24.868028841044875
1i4e	-39.5	27020.54	298.15	0.050792514037508785	15.143788060283242	-24.356211939716758
1hez	-39.03	40043.77	298.15	0.05531205878627813	16.491290327128823	-22.538709672871178
1f34	-57.08	19808.99	298.15	0.04780291661498194	14.252439588756864	-42.827560411243134
1i8l	-38.24	35258.8	298.15	0.053751648363850456	16.026053959682013	-22.21394604031799
1hxy	-53.09	26216.01	298.15	0.050480628896593965	15.050799505519489	-38.03920049448051
1g5j	-52.64	11780.84	298.15	0.04372929131455808	13.03788820543549	-39.60211179456451
1e6e	-34.62	44893.06	298.15	0.05680091341726994	16.935192335359034	-17.684807664640964
1ffw	-33.79	19856.73	298.15	0.04782435636986648	14.25883185167569	-19.53116814832431
1iqd	-61.95	25097.19	298.15	0.050038838289681364	14.919079636068497	-47.03092036393151
1gcq	-27.25	10228.99	298.15	0.04279311689933302	12.758767803536138	-14.491232196463862
1e3u	-34.25	37428.44	298.15	0.054471514869333285	16.24068215829172	-18.00931784170828
1i2m	-66.22	39558.11	298.15	0.05515809531741224	16.445386118886457	-49.77461388111354
1he8	-31.97	40860.58	298.15	0.055568912374209425	16.56787122437054	-15.40212877562946
1hcf	-54.71	21895.57	298.15	0.04871708096899727	14.524997690906535	-40.18500230909346
1fe8	-32.53	70222.8	298.15	0.0635196181362497	18.938374147322847	-13.591625852677154
1ewy	-31.09	31254.09	298.15	0.052362143010006884	15.611772938433552	-15.478227061566448
1ib1	-19.73	67893.95	298.15	0.06295911406576335	18.771259858707342	-0.9587401412926582
1j7v	-59.68	22357.48	298.15	0.04891347879159198	14.583553701713148	-45.09644629828685
1i4d	-31.52	29127.29	298.15	0.05158788178585384	15.380926954452322	-16.139073045547676
1i5k	-42.1	13529.25	298.15	0.04471285152511232	13.331136682212238	-28.768863317787762
1jiw	-65.06	22928.04	298.15	0.04915329318942306	14.655054364426485	-50.40494563557352
1fqj	-40.95	42029.17	298.15	0.05593196328857497	16.676114854488628	-24.273885145511375
1j7d	-32.53	15179.94	298.15	0.04558457699137195	13.591041629977546	-18.938958370022455
1jtg	-56.84	32537.97	298.15	0.05281682537076532	15.747336484293678	-41.09266351570633
1gl1	-56.43	33474.19	298.15	0.05314275350946814	15.844511958847926	-40.585488041152075
1gl0	-51.92	11257.85	298.15	0.04342108788437063	12.945997352725103	-38.9740026472749
1i3o	-51.44	30042.42	298.15	0.05192438642242925	15.481255811847278	-35.95874418815272
1eja	-51.37	13183.49	298.15	0.04452363040014445	13.274720403803066	-38.09527959619693
1id5	-50.36	20670.71	298.15	0.04818602100515668	14.366662162687463	-35.99333783731254
1f7z	-28.01	11758.32	298.15	0.04371616272869347	13.033973917559956	-14.976026082440045
3tgk	-28.09	12070.1	298.15	0.04389681978007918	13.087836817430606	-15.002163182569394
1jtd	-60.3	19073.04	298.15	0.04746907667851968	14.15290521170064	-46.147094788299356
1f5r	-23.9	12842.37	298.15	0.0443345010377062	13.218331484392102	-10.681668515607896
1gpw	-44.07	56064.8	298.15	0.059950572615561123	17.874263225329546	-26.195736774670454
1jmo	-39.61	32621.97	298.15	0.05284625833697938	15.756111923170401	-23.853888076829598
1jps	-57.08	27528.55	298.15	0.05098706268156647	15.201792738509042	-41.87820726149096
1lm8	-38.0	22278.16	298.15	0.04887989830481086	14.573541679579357	-23.426458320420643
1lzw	-36.99	12760.89	298.15	0.04428895517523937	13.204751985497618	-23.785248014502386
1l2w	-54.35	49998.23	298.15	0.058283770611430155	17.3773062077979	-36.9726937922021
1i51	-35.39	20031.53	298.15	0.047902638911624176	14.282171791500748	-21.107828208499253
1go4	-34.15	61394.44	298.15	0.061341841681688075	18.2890700973953	-15.860929902604699
1jwh	-45.09	57680.38	298.15	0.06037904014283532	18.00201081858635	-27.087989181413654
1l4z	-38.28	18021.46	298.15	0.04698067607605774	14.007288572076614	-24.272711427923387
1l4d	-38.28	18008.14	298.15	0.04697439954755396	14.005417225103212	-24.27458277489679
1kxp	-51.37	33907.75	298.15	0.05329214459855511	15.889052912059205	-35.48094708794079
1mxe	-68.49	18968.08	298.15	0.0474209437172617	14.138554369301575	-54.35144563069842
1k5d	-34.25	116720.56	298.15	0.07321491594345637	21.829027188541517	-12.420972811458483
1k93	-43.94	93507.07	298.15	0.06867962150797238	20.476829152601965	-23.463170847398032
1ktk	-26.82	64229.22	298.15	0.062057253781320695	18.502370214900765	-8.317629785099236
1i8k	-43.71	11027.24	298.15	0.04328291534264975	12.904801209411021	-30.80519879058898
1kxt	-37.84	85876.31	298.15	0.06706778871203406	19.996261204492953	-17.84373879550705
1ijk	-43.6	19772.63	298.15	0.047786570214631036	14.247565909492241	-29.35243409050776
1kgy	-43.39	56296.65	298.15	0.0600124374218423	17.89270821732228	-25.49729178267772
1kxv	-43.39	43998.76	298.15	0.05653262444614177	16.855201978617167	-26.534798021382834
1lj2	-26.08	16784.34	298.15	0.04638747814643852	13.830426609360643	-12.249573390639355
1ktz	-37.31	11572.0	298.15	0.043607056992604976	13.001444042345172	-24.308555957654832
1lw6	-66.77	13988.91	298.15	0.044960700518358085	13.405032859548461	-53.36496714045153
1kxq	-48.26	81884.98	298.15	0.06619612796971522	19.73637555417059	-28.52362444582941
1lqb	-42.86	18307.71	298.15	0.0471150039439084	14.047338425876289	-28.81266157412371
1kbh	-42.63	6815.1	298.15	0.0404422985975311	12.057871326853897	-30.572128673146103
1h59	-42.42	6833.39	298.15	0.04045630144936535	12.062046277128278	-30.357953722871724
1gng	-42.29	35228.11	298.15	0.053741309146717244	16.022971322093746	-26.267028677906254
1kkl	-41.93	35409.13	298.15	0.053802228467099464	16.041134417465702	-25.888865582534297
1eaw	-58.81	25346.75	298.15	0.05013822236444915	14.948710997960513	-43.86128900203949
1lqs	-47.93	34432.13	298.15	0.05347155895972826	15.942545303842978	-31.987454696157023
1gxd	-47.28	80085.84	298.15	0.06579627690137621	19.617159958145315	-27.662840041854686
1m10	-47.01	20808.95	298.15	0.04824673121411065	14.384762911487089	-32.62523708851291
1jsp	-24.55	20528.78	298.15	0.04812347869477601	14.348015172847466	-10.201984827152534
1l0x	-29.8	41498.81	298.15	0.055767828003151526	16.627177919139626	-13.172822080860374
1l8c	-46.55	10623.87	298.15	0.043037711455619805	12.831693670493044	-33.71830632950695
1m1e	-51.37	25536.72	298.15	0.050213547932018265	14.971169315931245	-36.398830684068756
1k2d	-24.55	24067.79	298.15	0.04962357357873433	14.795268462499639	-9.754731537500362
1ob1	-55.36	49458.5	298.15	0.058130694978972705	17.33166670798071	-38.02833329201929
1jgn	-36.85	18939.22	298.15	0.047407685658926633	14.134601479208975	-22.715398520791027
1ogy	-53.09	229036.49	298.15	0.09053580626373123	26.993250637531464	-26.09674936246854
1op9	-52.25	11857.55	298.15	0.04377391738032431	13.051193466943692	-39.198806533056306
1p27	-52.25	22256.0	298.15	0.048870506087543064	14.570741390000963	-37.67925860999904
1p9m	-51.92	36154.37	298.15	0.05405140162235873	16.115425393706253	-35.80457460629375
1lx5	-50.92	13179.87	298.15	0.044521636271439936	13.274125854329816	-37.645874145670184
1p3q	-33.79	13165.39	298.15	0.04451365701675494	13.271746839545486	-20.518253160454513
1n64	-50.72	20984.3	298.15	0.04832344945691176	14.40763645557824	-36.31236354442176
1j2j	-33.41	11314.78	298.15	0.043454979747290595	12.95610221165469	-20.45389778834531
1jh4	-33.24	26481.27	298.15	0.05058398212202877	15.081614269682877	-18.158385730317125
1mzw	-32.57	11428.54	298.15	0.04352244948224988	12.976218313132799	-19.593781686867203
1oqe	-39.74	69893.58	298.15	0.06344095213955488	18.914919880408284	-20.825080119591718
1nys	-45.66	20199.19	298.15	0.047977403594512746	14.304462881703975	-31.35553711829602
1nyu	-45.66	19517.89	298.15	0.047671622449565854	14.213294233338058	-31.44670576666194
1mi5	-28.54	40383.51	298.15	0.05541920848492336	16.523237009779898	-12.016762990220101
1p9d	-27.91	8989.4	298.15	0.04199293125136636	12.52019245259488	-15.38980754740512
1uad	-39.17	23039.86	298.15	0.049199941666578054	14.668962607890245	-24.501037392109758
1otr	-21.74	9023.88	298.15	0.04201590945372009	12.527043403626644	-9.212956596373354
1pjm	-38.5	18940.36	298.15	0.0474082095575622	14.134757679587167	-24.365242320412833
1mhh	-51.37	44198.05	298.15	0.056592645599864634	16.873097285599638	-34.49690271440036
1o9a	-34.25	14785.63	298.15	0.045380834827797874	13.530295903907936	-20.719704096092066
1m5n	-49.53	25905.11	298.15	0.050358825113448955	15.014483707574804	-34.5155162924252
1psb	-26.82	19072.34	298.15	0.047468756109122365	14.152809633934831	-12.667190366065169
1pjn	-43.71	19079.72	298.15	0.047472135530609874	14.153817208451333	-29.556182791548668
1h1v	-43.6	35256.46	298.15	0.05375086019494873	16.02581896712396	-27.57418103287604
1q0w	-20.31	9256.21	298.15	0.04216960804627659	12.572868638997365	-7.737131361002634
1r0r	-60.11	12794.38	298.15	0.04430769303556656	13.210338678554168	-46.89966132144583
1uex	-49.65	20436.67	298.15	0.04808277412345793	14.335879104908981	-35.314120895091015
1lp1	-32.53	12433.19	298.15	0.04410429154548359	13.149694524285932	-19.380305475714067
1p4l	-31.52	24588.63	298.15	0.04983476947181388	14.858236518021307	-16.661763481978692
1ozs	-25.73	10843.59	298.15	0.043171842695689924	12.87168489971995	-12.85831510028005
1mq8	-31.52	39884.66	298.15	0.05526172123985221	16.476282187661933	-15.043717812338066
1q68	-36.52	14388.33	298.15	0.045172780892110714	13.468264622982808	-23.051735377017195
1p22	-36.07	25165.88	298.15	0.050066242298945754	14.927250141430676	-21.142749858569324
1oey	-47.93	41595.49	298.15	0.055797826265016975	16.63612190091481	-31.29387809908519
1o95	-30.26	78334.72	298.15	0.06540276147421271	19.499833333536518	-10.760166666463483
1h0t	-29.8	8455.52	298.15	0.04163135073841383	12.412387222658081	-17.38761277734192
1pvh	-40.51	38081.49	298.15	0.05468408069991669	16.30405866068016	-24.20594133931984
1p1z	-23.38	23708.82	298.15	0.04947668144217592	14.75147257198475	-8.628527428015248
1q69	-34.51	10666.03	298.15	0.04306355541190835	12.839399046060475	-21.670600953939523
1nez	-28.54	28525.8	298.15	0.0513638198831576	15.314122898163438	-13.225877101836561
1oc0	-51.37	17846.59	298.15	0.04689808983287756	13.982665483672443	-37.387334516327556
1nvu	-31.07	34921.07	298.15	0.0536376208616688	15.992056659906552	-15.077943340093448
1nf3	-41.67	33897.44	298.15	0.05328860322131836	15.887997050436068	-25.782002949563932
1oph	-47.38	23779.88	298.15	0.04950584732842949	14.760168380971251	-32.61983161902875
1o94	-30.26	69980.46	298.15	0.06346172978194642	18.921114734487322	-11.33888526551268
1nw9	-45.01	15164.32	298.15	0.04557655674403044	13.588650393232674	-31.421349606767322
1pxv	-54.27	27333.34	298.15	0.05091251873878419	15.179567461968505	-39.0904325380315
1p0s	-62.55	25693.39	298.15	0.05027545905768843	14.989628118049804	-47.56037188195019
1nb5	-58.0	57883.51	298.15	0.0604324852747849	18.017945484677117	-39.982054515322886
1mcv	-40.0	12217.3	298.15	0.0439813017991888	13.11302513142814	-26.886974868571862
1oyv	-45.92	24192.26	298.15	0.04967425119286627	14.810377993153077	-31.109622006846926
1rpq	-44.5	46224.18	298.15	0.057195346660780036	17.052792606911567	-27.447207393088433
