pdb_id	delta_G	complex_count	mean_nearest_opposite_A	mean_nonpolar_to_nonpolar_cross_A	mean_nonpolar_to_charged_cross_A	avg_bfactor_total	avg_bfactor_interface	N	n_pos	n_neg	net_charge	n_ARG	n_LYS	n_ASP	n_GLU	anisotropy_ratio	min_pos_neg	count_pos_neg_leq_cutoff	mean_nn_dist_all
1fc2	-43.65	251	12.882058	7.425219	12.351416	28.67	30.9	4.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	11.006636595096538	1.1521152087892284	0.0	1.260754543908826
2tgp	-32.08	281	9.317148	7.257919	8.856553	17.1	15.16	6.0	4.0	2.0	2.0	2.0	2.0	2.0	0.0	9.653358832636638	0.6041099262409872	0.0	0.9358610854725796
2ptc	-75.47	281	8.633218	7.280448	8.601627	24.28	20.35	7.0	4.0	3.0	1.0	2.0	2.0	3.0	0.0	3.537256559993005	0.6198136139373226	0.0	0.9835582405174992
2sni	-66.77	339	10.043248	6.839483	10.169143	12.83	10.02	8.0	3.0	5.0	-2.0	3.0	0.0	2.0	3.0	4.0839817678596	0.5364984220098135	1.0	0.8127250547872398
1atn	-53.35	629	11.559006	7.089456	10.105631	27.34	14.28	10.0	5.0	5.0	0.0	3.0	2.0	1.0	4.0	2.3837090730811528	0.5419130782230697	0.0	0.6712876184380632
1gla	-38.5	650	10.155881	7.184252	8.923123	27.93	26.13	12.0	5.0	7.0	-2.0	3.0	2.0	2.0	5.0	12.569828276884962	0.5313229012138293	0.0	0.6294860293624503
1acb	-55.36	304	14.69628	7.360483	9.959849	30.07	28.18	6.0	4.0	2.0	2.0	3.0	1.0	2.0	0.0	13.041802386051009	0.7660013904322458	0.0	1.1297126514379177
2pcc	-33.08	804	9.3805	8.193848	12.807014	32.97	41.17	38.0	19.0	19.0	0.0	4.0	15.0	6.0	13.0	2.940236243790831	0.4085914091272899	3.0	0.5052654092499554
2pcb	-28.54	692	9.218095	12.059496	9.148134	33.6	39.56	13.0	7.0	6.0	1.0	1.0	6.0	2.0	4.0	7.245678381123858	0.7164439784294687	0.0	0.8175853512417832
2sic	-57.92	382	12.12466	6.372028	10.328432	20.43	18.44	6.0	1.0	5.0	-4.0	1.0	0.0	2.0	3.0	16.28239541037969	0.8022870754187849	0.0	0.9127885752365767
2cpk	-49.3	353	8.736181	7.44259	8.216314	19.17	14.47	15.0	6.0	9.0	-3.0	4.0	2.0	5.0	4.0	4.592214894369931	0.4196392935968228	1.0	0.6793953023622413
