PDB_ID	Prot1_Count	Prot2_Count	Prot3_Count	Prot4_Count	Prot5_Count	Prot6_Count	Prot7_Count	Prot8_Count	Prot9_Count	Prot10_Count	Prot11_Count	Prot12_Count	Prot13_Count	Prot14_Count	Prot15_Count	Prot16_Count
1fc2	44	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3sgb	185	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2tgp	223	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ptc	223	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2sni	275	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1atn	371	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gla	161	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1acb	241	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2pcc	588	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2pcb	588	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2sic	275	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2cpk	333	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2iff	212	214	129	0	0	0	0	0	0	0	0	0	0	0	0	0
1brs	326	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2btf	373	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1vfb	107	116	129	0	0	0	0	0	0	0	0	0	0	0	0	0
1hrt	36	259	65	0	0	0	0	0	0	0	0	0	0	0	0	0
1ppe	223	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mta	373	124	105	147	0	0	0	0	0	0	0	0	0	0	0	0
1nca	389	214	221	0	0	0	0	0	0	0	0	0	0	0	0	0
1smf	223	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ihs	30	259	18	0	0	0	0	0	0	0	0	0	0	0	0	0
1nsn	217	210	138	0	0	0	0	0	0	0	0	0	0	0	0	0
1bql	212	214	129	0	0	0	0	0	0	0	0	0	0	0	0	0
1nma	378	109	122	0	0	0	0	0	0	0	0	0	0	0	0	0
1mlc	428	436	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1rlb	486	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mah	533	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mtn	22	262	194	116	0	0	0	0	0	0	0	0	0	0	0	0
1tbr	98	518	206	0	0	0	0	0	0	0	0	0	0	0	0	0
1tbq	98	518	206	0	0	0	0	0	0	0	0	0	0	0	0	0
1dit	29	251	14	0	0	0	0	0	0	0	0	0	0	0	0	0
1efn	114	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1akj	276	98	9	228	0	0	0	0	0	0	0	0	0	0	0	0
1ak4	328	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gua	167	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ycs	191	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1taw	223	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1bth	62	508	116	0	0	0	0	0	0	0	0	0	0	0	0	0
1hia	160	300	96	0	0	0	0	0	0	0	0	0	0	0	0	0
1cbw	22	262	194	116	0	0	0	0	0	0	0	0	0	0	0	0
1toc	112	1036	480	0	0	0	0	0	0	0	0	0	0	0	0	0
1dhk	495	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dfj	124	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fle	240	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ca0	22	262	194	108	0	0	0	0	0	0	0	0	0	0	0	0
1b27	328	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wej	214	223	104	0	0	0	0	0	0	0	0	0	0	0	0	0
1a22	180	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a3b	27	251	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1b2u	328	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xdt	518	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b3s	328	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jrh	167	180	95	0	0	0	0	0	0	0	0	0	0	0	0	0
1axi	175	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1avz	203	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a2k	248	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b2s	330	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wq1	166	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2vir	210	221	267	0	0	0	0	0	0	0	0	0	0	0	0	0
2jel	217	218	85	0	0	0	0	0	0	0	0	0	0	0	0	0
1avg	41	259	142	0	0	0	0	0	0	0	0	0	0	0	0	0
2vis	210	221	267	0	0	0	0	0	0	0	0	0	0	0	0	0
1avx	223	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1buh	287	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a4y	920	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kig	241	51	60	0	0	0	0	0	0	0	0	0	0	0	0	0
1an1	222	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ldt	223	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fmo	336	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ahw	428	428	400	0	0	0	0	0	0	0	0	0	0	0	0	0
1azz	452	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1bvn	496	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ugh	223	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
