pdb_id,file,chains,source
1a22,/home/op98/protein_design/dataset/PP/PP2/1a22.ent.pdb,2,compnd
1acb,/home/op98/protein_design/dataset/PP/PP2/1acb.ent.pdb,2,compnd
1an1,/home/op98/protein_design/dataset/PP/PP2/1an1.ent.pdb,2,compnd
1atn,/home/op98/protein_design/dataset/PP/PP2/1atn.ent.pdb,2,compnd
1avx,/home/op98/protein_design/dataset/PP/PP2/1avx.ent.pdb,2,compnd
1axi,/home/op98/protein_design/dataset/PP/PP2/1axi.ent.pdb,2,compnd
1ay7,/home/op98/protein_design/dataset/PP/PP2/1ay7.ent.pdb,2,compnd
1buh,/home/op98/protein_design/dataset/PP/PP2/1buh.ent.pdb,2,compnd
1bvn,/home/op98/protein_design/dataset/PP/PP2/1bvn.ent.pdb,2,compnd
1c9p,/home/op98/protein_design/dataset/PP/PP2/1c9p.ent.pdb,2,compnd
1clv,/home/op98/protein_design/dataset/PP/PP2/1clv.ent.pdb,2,compnd
1d6r,/home/op98/protein_design/dataset/PP/PP2/1d6r.ent.pdb,2,compnd
1dfj,/home/op98/protein_design/dataset/PP/PP2/1dfj.ent.pdb,2,compnd
1dhk,/home/op98/protein_design/dataset/PP/PP2/1dhk.ent.pdb,2,compnd
1djs,/home/op98/protein_design/dataset/PP/PP2/1djs.ent.pdb,2,compnd
1dp5,/home/op98/protein_design/dataset/PP/PP2/1dp5.ent.pdb,2,compnd
1dpj,/home/op98/protein_design/dataset/PP/PP2/1dpj.ent.pdb,2,compnd
1e96,/home/op98/protein_design/dataset/PP/PP2/1e96.ent.pdb,2,compnd
1ees,/home/op98/protein_design/dataset/PP/PP2/1ees.ent.pdb,2,compnd
1eja,/home/op98/protein_design/dataset/PP/PP2/1eja.ent.pdb,2,compnd
1emv,/home/op98/protein_design/dataset/PP/PP2/1emv.ent.pdb,2,compnd
1es0,/home/op98/protein_design/dataset/PP/PP2/1es0.ent.pdb,2,compnd
1f34,/home/op98/protein_design/dataset/PP/PP2/1f34.ent.pdb,2,compnd
1f3v,/home/op98/protein_design/dataset/PP/PP2/1f3v.ent.pdb,2,compnd
1f5r,/home/op98/protein_design/dataset/PP/PP2/1f5r.ent.pdb,2,compnd
1f7z,/home/op98/protein_design/dataset/PP/PP2/1f7z.ent.pdb,2,compnd
