pdb_id	file	total_sasa_A2
1a22	/home/op98/protein_design/dataset/PP/PP2/1a22.ent.pdb	17806.89
1a2k	/home/op98/protein_design/dataset/PP/PP2/1a2k.ent.pdb	37656.93
1a3b	/home/op98/protein_design/dataset/PP/PP2/1a3b.ent.pdb	12791.61
1a4y	/home/op98/protein_design/dataset/PP/PP2/1a4y.ent.pdb	40715.56
1acb	/home/op98/protein_design/dataset/PP/PP2/1acb.ent.pdb	15347.57
1ahw	/home/op98/protein_design/dataset/PP/PP2/1ahw.ent.pdb	55538.80
1ak4	/home/op98/protein_design/dataset/PP/PP2/1ak4.ent.pdb	29488.74
1akj	/home/op98/protein_design/dataset/PP/PP2/1akj.ent.pdb	28359.10
1an1	/home/op98/protein_design/dataset/PP/PP2/1an1.ent.pdb	11206.17
1atn	/home/op98/protein_design/dataset/PP/PP2/1atn.ent.pdb	25881.07
1ava	/home/op98/protein_design/dataset/PP/PP2/1ava.ent.pdb	43225.13
1avg	/home/op98/protein_design/dataset/PP/PP2/1avg.ent.pdb	28681.26
1avx	/home/op98/protein_design/dataset/PP/PP2/1avx.ent.pdb	17986.42
1avz	/home/op98/protein_design/dataset/PP/PP2/1avz.ent.pdb	13955.35
1axi	/home/op98/protein_design/dataset/PP/PP2/1axi.ent.pdb	18603.43
1ay7	/home/op98/protein_design/dataset/PP/PP2/1ay7.ent.pdb	9506.55
1azz	/home/op98/protein_design/dataset/PP/PP2/1azz.ent.pdb	28009.68
1b27	/home/op98/protein_design/dataset/PP/PP2/1b27.ent.pdb	26500.31
1b2s	/home/op98/protein_design/dataset/PP/PP2/1b2s.ent.pdb	28622.77
1b2u	/home/op98/protein_design/dataset/PP/PP2/1b2u.ent.pdb	27551.18
1b3s	/home/op98/protein_design/dataset/PP/PP2/1b3s.ent.pdb	27865.96
1b6c	/home/op98/protein_design/dataset/PP/PP2/1b6c.ent.pdb	77955.30
1bj1	/home/op98/protein_design/dataset/PP/PP2/1bj1.ent.pdb	47096.60
1bql	/home/op98/protein_design/dataset/PP/PP2/1bql.ent.pdb	24730.28
1brs	/home/op98/protein_design/dataset/PP/PP2/1brs.ent.pdb	27299.16
1bth	/home/op98/protein_design/dataset/PP/PP2/1bth.ent.pdb	30725.39
1buh	/home/op98/protein_design/dataset/PP/PP2/1buh.ent.pdb	17871.19
1bvk	/home/op98/protein_design/dataset/PP/PP2/1bvk.ent.pdb	31849.67
1bvn	/home/op98/protein_design/dataset/PP/PP2/1bvn.ent.pdb	20314.95
1c9p	/home/op98/protein_design/dataset/PP/PP2/1c9p.ent.pdb	13539.57
1c9t	/home/op98/protein_design/dataset/PP/PP2/1c9t.ent.pdb	68704.84
1ca0	/home/op98/protein_design/dataset/PP/PP2/1ca0.ent.pdb	25327.50
1cbw	/home/op98/protein_design/dataset/PP/PP2/1cbw.ent.pdb	23969.37
1clv	/home/op98/protein_design/dataset/PP/PP2/1clv.ent.pdb	16074.40
1cmx	/home/op98/protein_design/dataset/PP/PP2/1cmx.ent.pdb	22007.70
1cn4	/home/op98/protein_design/dataset/PP/PP2/1cn4.ent.pdb	29756.99
1cz8	/home/op98/protein_design/dataset/PP/PP2/1cz8.ent.pdb	45714.50
1d6r	/home/op98/protein_design/dataset/PP/PP2/1d6r.ent.pdb	12492.84
1de4	/home/op98/protein_design/dataset/PP/PP2/1de4.ent.pdb	123935.38
1dee	/home/op98/protein_design/dataset/PP/PP2/1dee.ent.pdb	60551.23
1dfj	/home/op98/protein_design/dataset/PP/PP2/1dfj.ent.pdb	23556.12
1dhk	/home/op98/protein_design/dataset/PP/PP2/1dhk.ent.pdb	24052.32
1dit	/home/op98/protein_design/dataset/PP/PP2/1dit.ent.pdb	12866.29
1djs	/home/op98/protein_design/dataset/PP/PP2/1djs.ent.pdb	17632.47
1dp5	/home/op98/protein_design/dataset/PP/PP2/1dp5.ent.pdb	15792.35
1dpj	/home/op98/protein_design/dataset/PP/PP2/1dpj.ent.pdb	14815.58
1dqj	/home/op98/protein_design/dataset/PP/PP2/1dqj.ent.pdb	24656.71
1du3	/home/op98/protein_design/dataset/PP/PP2/1du3.ent.pdb	63244.68
1dzb	/home/op98/protein_design/dataset/PP/PP2/1dzb.ent.pdb	29794.78
1e3u	/home/op98/protein_design/dataset/PP/PP2/1e3u.ent.pdb	37428.44
1e4k	/home/op98/protein_design/dataset/PP/PP2/1e4k.ent.pdb	32717.03
1e6e	/home/op98/protein_design/dataset/PP/PP2/1e6e.ent.pdb	44893.06
1e6j	/home/op98/protein_design/dataset/PP/PP2/1e6j.ent.pdb	32671.97
1e96	/home/op98/protein_design/dataset/PP/PP2/1e96.ent.pdb	17850.27
1eaw	/home/op98/protein_design/dataset/PP/PP2/1eaw.ent.pdb	25346.75
1eer	/home/op98/protein_design/dataset/PP/PP2/1eer.ent.pdb	29685.89
1ees	/home/op98/protein_design/dataset/PP/PP2/1ees.ent.pdb	14956.12
1efn	/home/op98/protein_design/dataset/PP/PP2/1efn.ent.pdb	16544.21
1efx	/home/op98/protein_design/dataset/PP/PP2/1efx.ent.pdb	39702.79
1eja	/home/op98/protein_design/dataset/PP/PP2/1eja.ent.pdb	13183.49
1emv	/home/op98/protein_design/dataset/PP/PP2/1emv.ent.pdb	11764.06
1eo8	/home/op98/protein_design/dataset/PP/PP2/1eo8.ent.pdb	42284.08
1es0	/home/op98/protein_design/dataset/PP/PP2/1es0.ent.pdb	18020.43
1ewy	/home/op98/protein_design/dataset/PP/PP2/1ewy.ent.pdb	31254.09
1ezs	/home/op98/protein_design/dataset/PP/PP2/1ezs.ent.pdb	29287.97
1ezu	/home/op98/protein_design/dataset/PP/PP2/1ezu.ent.pdb	30890.68
1f34	/home/op98/protein_design/dataset/PP/PP2/1f34.ent.pdb	19808.99
1f3v	/home/op98/protein_design/dataset/PP/PP2/1f3v.ent.pdb	16714.01
1f5r	/home/op98/protein_design/dataset/PP/PP2/1f5r.ent.pdb	12842.37
1f7z	/home/op98/protein_design/dataset/PP/PP2/1f7z.ent.pdb	11758.32
1fak	/home/op98/protein_design/dataset/PP/PP2/1fak.ent.pdb	25977.08
1fc2	/home/op98/protein_design/dataset/PP/PP2/1fc2.ent.pdb	15381.64
1fe8	/home/op98/protein_design/dataset/PP/PP2/1fe8.ent.pdb	70222.80
1ffw	/home/op98/protein_design/dataset/PP/PP2/1ffw.ent.pdb	19856.73
1ffx	/home/op98/protein_design/dataset/PP/PP2/1ffx.ent.pdb	72700.73
1fg9	/home/op98/protein_design/dataset/PP/PP2/1fg9.ent.pdb	45674.32
1fle	/home/op98/protein_design/dataset/PP/PP2/1fle.ent.pdb	13226.87
1flt	/home/op98/protein_design/dataset/PP/PP2/1flt.ent.pdb	20924.56
