PDB_ID	ΔG_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	Charged_Count	Polar_Count	Hbond_Count
1fc2	-43.65	28.67	30.9	8	17	6
3sgb	-61.34	14.02	10.53	9	14	7
2tgp	-32.08	17.1	15.16	8	15	11
2ptc	-75.47	24.28	20.35	9	15	11
2sni	-66.77	12.83	10.02	9	16	10
1atn	-53.35	27.34	14.28	13	18	12
1gla	-38.5	27.93	26.13	15	11	2
1acb	-55.36	30.07	28.18	9	13	11
2pcc	-33.08	32.97	41.17	38	23	7
2pcb	-28.54	33.6	39.56	13	7	5
2sic	-57.92	20.43	18.44	7	15	12
2cpk	-49.3	19.17	14.47	16	14	12
2iff	-45.66	22.67	15.82	25	62	43
1brs	-79.26	26.32	21.35	40	39	41
2btf	-32.18	20.25	17.4	22	16	21
1vfb	-48.62	24.61	15.41	24	39	42
1hrt	-65.77	12.61	14.75	48	39	46
1ppe	-65.77	14.26	9.75	10	17	13
2mta	-30.52	19.28	13.39	47	36	33
1nca	-46.12	18.64	17.51	28	68	35
1smf	-39.5	7.29	5.46	7	13	11
1ihs	-54.35	25.37	27.4	31	28	32
1nsn	-57.08	18.9	15.75	25	62	30
1bql	-39.95	22.81	16.45	26	62	48
1nma	-44.83	22.5	22.5	14	40	25
1mlc	-40.19	29.32	21.31	56	127	84
1rlb	-34.8	29.31	24.67	16	20	26
1mah	-60.51	35.44	28.9	14	21	14
1mtn	-45.79	43.92	41.66	68	137	241
1tbr	-72.48	38.01	34.61	126	94	91
1tbq	-72.48	12.7	12.0	125	93	86
1dit	-68.49	24.72	26.11	32	24	33
1efn	-36.64	33.27	32.24	20	21	17
1akj	-22.26	26.24	18.57	49	71	65
1ak4	-27.22	21.72	20.72	15	23	15
1gua	-42.23	18.68	13.42	13	8	11
1ycs	-42.94	53.4	56.53	16	16	11
1bth	-45.66	35.25	30.96	71	61	80
1hia	-45.01	45.66	34.6	86	96	170
1cbw	-44.5	35.12	33.42	62	136	239
1toc	-68.49	34.32	33.7	204	188	204
1dhk	-59.68	17.94	16.06	28	35	18
1dfj	-75.51	49.29	50.33	25	28	16
1fle	-46.93	23.39	22.84	10	12	10
1ca0	-46.51	39.11	37.69	54	133	222
1b27	-79.91	27.76	23.42	40	40	43
1wej	-41.22	20.55	16.55	33	60	46
1a22	-54.04	30.75	28.43	23	23	18
1a3b	-54.35	25.65	24.56	24	16	24
1b2u	-39.95	28.05	22.77	33	34	37
1xdt	-45.66	37.79	30.95	21	18	11
1b3s	-56.69	33.9	30.14	36	33	30
1jrh	-44.79	62.65	50.33	22	49	51
1axi	-44.83	27.73	30.17	21	22	12
1avz	-27.4	37.17	36.63	10	11	8
1a2k	-38.95	39.16	34.26	24	25	30
1b2s	-55.96	21.63	18.12	35	38	40
1wq1	-27.22	38.56	27.75	21	22	10
2vir	-51.37	28.29	22.88	19	61	25
2jel	-48.82	36.9	25.26	23	66	45
1avg	-65.77	27.56	20.42	41	30	32
2vis	-30.81	28.84	24.29	19	59	24
1avx	-75.47	26.56	16.67	11	17	12
1buh	-40.6	24.28	20.02	15	8	5
1kig	-55.62	15.06	15.0	26	23	29
1an1	-51.63	26.46	21.59	7	13	12
1ldt	-49.91	20.07	16.65	8	14	13
1fmo	-49.3	42.29	32.17	17	15	14
1ahw	-48.34	38.22	26.35	83	158	125
1azz	-53.04	20.69	17.61	28	62	54
1bvn	-63.05	26.44	26.88	12	18	14
1ugh	-64.05	41.04	41.52	12	27	11
1vpp	-30.75	24.45	23.47	19	12	21
1b6c	-37.4	37.32	34.63	59	61	28
1ibr	-54.35	41.84	32.11	55	56	39
1flt	-50.61	30.61	32.06	22	24	9
1uug	-33.6	26.76	21.54	28	49	17
1lfd	-32.66	24.0	18.63	37	33	40
1kac	-44.69	44.89	42.59	12	12	7
1sbb	-22.0	41.99	38.43	27	45	10
1bvk	-44.83	31.1	24.63	37	67	70
1eer	-51.37	34.16	23.51	37	27	25
1tba	-51.37	0.0	0.0	22	21	11
1ay7	-34.25	22.72	18.59	12	12	11
1cn4	-34.25	41.02	18.86	26	25	18
1qa9	-34.25	77.02	76.34	48	13	29
1bj1	-48.34	41.93	27.82	45	130	92
1grn	-36.59	30.46	29.47	15	17	13
1qfu	-48.65	44.56	32.66	63	105	53
1vrk	-46.62	29.73	26.84	18	7	13
1qse	-29.35	66.09	52.15	73	101	117
4thn	-57.34	47.42	47.76	32	25	34
1qur	-71.56	28.56	28.9	26	21	28
1fak	-53.64	27.53	21.2	58	54	55
1cmx	-32.93	54.71	50.45	29	45	29
1es0	-42.23	36.33	30.59	39	49	42
1fg9	-57.08	60.66	51.17	47	42	56
